name,category,cagr,r1,r2,r3,r5,r7,r10,r15,sharpe,upcap,infratio,downcap,sd,beta,pe,ter,score
Bank of India Small Cap,Small Cap,25.12,19.92,9.2,21.82,19.93,26.67,,,0.96,114.94,0.98,94.79,17.94,1.01,35.16,2.04,83.6
Invesco India Smallcap,Small Cap,22.01,12.8,10.23,23.27,20.8,23.74,,,0.81,118.25,1.34,93.03,18.04,0.95,41.67,1.73,81.2
Motilal Oswal Small Cap,Small Cap,20.23,16.71,15.38,,,,,,0.74,124.29,1.52,91.82,17.67,0.88,32.83,1.84,77.2
TRUSTMF Small Cap,Small Cap,14.52,26.13,,,,,,,0.45,125.0,2.19,78.97,18.9,0.92,42.79,2.03,76.4
Bandhan Small Cap,Small Cap,28.62,8.35,10.54,27.41,20.5,,,,1.15,90.04,0.65,83.13,17.26,0.92,18.1,1.59,75.8
ITI Small Cap,Small Cap,19.83,13.85,7.72,24.33,16.5,,,,0.66,105.69,1.42,85.52,20.0,0.99,37.4,1.92,74.7
Union Small Cap,Small Cap,15.38,20.87,10.23,19.16,18.24,22.98,16.69,,0.53,107.02,1.34,83.59,16.87,0.99,39.29,2.04,73.5
Mahindra Manulife Small Cap,Small Cap,23.31,12.88,5.45,22.24,,,,,0.91,85.9,0.29,84.48,17.07,0.92,29.38,1.85,67.8
Sundaram Small Cap,Small Cap,16.99,14.18,8.32,19.35,18.24,20.13,15.02,16.19,0.53,97.6,1.03,81.91,20.92,0.88,27.84,1.9,63.7
DSP Small Cap,Small Cap,17.41,10.42,8.67,18.46,18.39,21.63,16.58,19.33,0.55,94.82,0.8,84.0,20.28,0.88,29.28,1.69,60.4
Nippon India Small Cap,Small Cap,20.05,8.83,3.34,18.74,20.88,24.49,21.07,21.55,0.77,86.43,0.17,87.24,16.58,0.85,30.33,1.33,56.7
LIC MF Small Cap,Small Cap,14.19,13.12,3.81,17.63,18.51,20.18,,,0.46,99.98,0.02,99.67,17.33,1.0,33.05,2.33,55.5
JM Small Cap,Small Cap,5.21,12.62,,,,,,,0.02,117.12,0.32,105.77,21.02,1.05,29.81,2.35,55.2
HSBC Small Cap,Small Cap,19.49,8.37,2.18,17.06,19.23,20.74,18.81,,0.73,104.78,-0.13,105.7,17.13,0.99,33.15,1.68,54.4
Edelweiss Small Cap,Small Cap,22.95,7.59,4.37,17.32,17.77,22.74,,,0.89,79.42,0.26,78.78,17.32,0.85,33.11,1.83,53.1
Axis Small Cap,Small Cap,21.06,7.03,6.06,15.68,17.35,21.17,18.48,,0.91,83.25,0.58,76.67,14.59,0.8,31.02,1.58,51.9
UTI Small Cap,Small Cap,19.82,6.33,6.52,16.07,16.36,,,,0.8,89.44,0.38,86.02,15.57,0.89,29.11,1.81,51.6
Quant Small Cap,Small Cap,11.82,12.43,2.38,20.33,20.48,29.96,19.82,16.17,0.33,81.98,0.2,81.56,18.04,0.84,29.91,1.58,47.1
Aditya Birla SL Small Cap,Small Cap,12.39,12.21,5.43,17.1,14.15,16.32,13.23,14.92,0.35,96.21,0.62,88.63,18.64,0.9,30.57,1.85,45.6
PGIM India Small Cap,Small Cap,11.78,11.41,7.08,15.5,,,,,0.35,79.42,0.59,71.97,15.88,0.82,47.59,2.13,41.4
Quantum Small Cap,Small Cap,11.6,8.44,7.09,,,,,,0.36,79.04,0.78,66.05,14.42,0.76,22.37,2.17,40.2
Canara Robeco Small Cap,Small Cap,20.57,4.17,1.47,13.76,16.77,22.16,,,0.77,75.86,-0.36,84.78,17.49,0.86,30.64,1.7,36.1
Franklin India Small Cap,Small Cap,15.01,3.75,-0.29,16.39,18.33,18.83,15.22,18.27,0.48,82.87,-0.26,90.54,18.6,0.85,28.5,1.7,31.3
HDFC Small Cap,Small Cap,15.46,2.74,2.56,14.09,16.72,18.7,17.6,16.4,0.5,70.19,-0.24,79.01,18.5,0.83,22.2,1.53,29.1
Baroda BNP Paribas Small Cap,Small Cap,12.28,6.3,1.82,,,,,,0.36,71.75,-0.1,78.25,17.23,0.81,31.33,2.19,26.9
SBI Small Cap,Small Cap,18.54,4.31,0.2,12.81,14.36,19.48,18.1,20.16,0.74,66.29,-0.27,77.66,15.25,0.73,33.87,1.53,26.2
ICICI Pru Smallcap,Small Cap,12.39,5.0,1.76,13.45,15.83,19.87,16.26,15.39,0.38,68.48,-0.02,75.14,16.4,0.73,23.59,1.75,24.0
Tata Small Cap,Small Cap,18.94,-4.48,-1.05,12.13,15.11,20.33,,,0.71,60.63,-1.5,96.57,16.65,0.9,31.71,1.67,23.0
Kotak Small Cap,Small Cap,16.56,3.13,0.75,13.38,13.98,20.99,16.86,17.04,0.55,77.59,-0.58,93.07,18.45,0.81,33.19,1.68,22.6
